manga_id,title,type,status,latest_update,score,scored_by,synopsis
2921,Kaichou wa Maid-sama!,Manga,Finished,2013-09-24T00:00:00+00:00,8.37,85320,"Seika High School was an all-boys school, but it has since turned co-ed. Misaki Ayuzawa is the first female student council president of the school, eventually earning the nickname of the ""Demon President"" due to her mastery of Aikido and imposed iron rule.

However, Misaki harbors an embarrassing secret—she has to work at a maid café to support her family. If anybody from her school was to find out, her reputation would be utterly destroyed. And after Takumi Usui—the most popular boy at school—discovers her secret, that might just happen. Kaichou wa Maid-sama! follows their story as they spend more time together and eventually begin to understand each other's secrets.

[Written by MAL Rewrite]

Included one-shot:
Volume 1: Toumei na Sekai (Transparent World)"
28,Nana,Manga,On Hiatus,2009-05-26T00:00:00+00:00,8.81,51690,"Nana Komatsu is a naive, unmotivated girl who spends her high school days chasing one crush after the other. Despite continually facing failure in her quest for love, her spirits have never dampened. At the age of 20, she finds herself on a train to Tokyo with hopes of reuniting with her current boyfriend.

Nana Osaki, on the other hand, is feisty and prideful. After joining a local band during her high school days, she falls in love with music and one of the band members. However, when faced with the choice between her relationship and her musical career, she chooses the latter and separates from her boyfriend. On her 20th birthday, she boards the same train to Tokyo, like her namesake, where she aims to become a top vocalist.

The two girls with the same name but very different aspirations find themselves sitting together on their journey to the city, and, as fate would have it, eventually share the same apartment. A deep and unique bond is then forged, where they will support each other in this saga of love, music, friendship, and heartbreak.

[Written by MAL Rewrite]"
35573,Orange,Manga,Finished,2022-04-08T00:00:00+00:00,8.28,73466,"One morning, Naho Takamiya receives a letter in the mail claiming to be from herself 10 years in the future. The letter reveals a series of events that are supposed to take place that day. At first, Naho thinks it's just a prank; but when the letter mentions a transfer student named Kakeru Naruse, who really ends up transferring into her class later that day, she is forced to believe in its contents.

As Naho continues to read the letter, her future self mentions several regrets, urging Naho to take the right decisions now. Somehow these regrets all seem to be connected to Kakeru, and with the burden of the knowledge that the boy wouldn't be with her and her friends in the future, will Naho be able to make the perfect choices that will alter what seems to be fate?

[Written by MAL Rewrite]

Also includes Haru-iro Astronaut (Spring-Colored Astronaut) series."
21525,Akatsuki no Yona,Manga,Finished,2025-12-19T00:00:00+00:00,8.83,52715,"Once upon a time, the kingdom of Kouka was ruled by a red dragon in human form. By his side, four warriors imbued with dragon blood helped him lead the kingdom to prosperity. Time passed, and this tale became a legend to tell children.

As the sole princess of Kouka, Yona lives a life of lavish ease. In love with her cousin, Su-won, and protected by her bodyguard, Son Hak, she wants for nothing and remains sheltered from the harrowing reality outside the castle walls. Contrary to this peaceful illusion, Kouka is about to undergo a political upheaval. After her beloved Su-won stages a bloody coup and murders her father, Yona is forced to flee with only Hak by her side.

Though surrounded by enemies on all sides, the banished princess still yearns to save her kingdom. Her solution comes from an exiled priest, who tells her that her only hope is to find the four legendary dragon warriors. Guided by this seemingly fictitious myth, Yona sets out to find these warriors, determined to restore her kingdom.

[Written by MAL Rewrite]"
102,Fruits Basket,Manga,Finished,2006-11-20T00:00:00+00:00,8.53,75876,"Tooru Honda is an orphan with nowhere to go but a tent in the woods, until the Souma family takes her in. However, the Souma family is no ordinary family, and they hide a grave secret: when they are hugged by someone of the opposite gender, they turn into animals from the Chinese zodiac!

Now, Tooru must help Kyou and Yuki Souma hide their curse from their classmates, as well as her friends Arisa Uotani and Saki Hanajima. As she is drawn further into the mysterious world of the Soumas, she meets more of the family, forging friendships along the way.

But this curse has caused much suffering; it has broken many Soumas. Despite this, Tooru may just be able to heal their hearts and soothe their souls.

[Written by MAL Rewrite]"
111213,Bastard,Manhwa,Finished,2016-05-06T00:00:00+00:00,8.46,78012,"There is nowhere that Seon Jin can find solace. At school, he is ruthlessly bullied due to his unsettlingly quiet nature and weak appearance. However, this is not the source of Jin's insurmountable terror: the thing that he fears more than anything else is his own father.

To most, Jin's father is a successful businessman, good samaritan, and doting parent. But that is merely a facade; in truth, he is a deranged serial killer—and Jin is his unwilling accomplice. For years, they have been carrying out this ruse with the police being none the wiser. When his father takes an interest in the pretty transfer student Yoon Kyun, Jin must make a decision—be the coward who sends her to the gallows like all the rest, or be the bastard of a son who defies his wicked parent.

[Written by MAL Rewrite]"
89087,Wotaku ni Koi wa Muzukashii,Manga,Finished,2021-07-16T00:00:00+00:00,8.34,54265,"Narumi Momose is a petite and cute young woman who loves idols, games, and everything anime or manga-related, especially in the boys' love genre. In other words, she is a closet otaku and more specifically, a fujoshi. After a breakup due to these kind of interests, she quits her job and joins a new company. At her new workplace, the only colleagues who know about her secret are her childhood friend Hirotaka Nifuji, a blunt gaming otaku; Hanako Koyanagi, a cool and mature-looking beauty; and Tarou Kabakura, an attractive guy with a scary face who always gets into fights with Hanako.

While having drinks to catch up, Hirotaka advises Narumi to date someone who would understand her hobbies. But she is hesitant—otakus are typically perceived as gross, and the only ones who can understand them are otakus themselves. Or could a relationship between two otakus work?

Following the relationship of Narumi and Hirotaka as they begin dating, Wotaku ni Koi wa Muzukashii is a light-hearted story about those who try to balance work, relationships, and hobbies.

[Written by MAL Rewrite]"
25297,Prison School,Manga,Finished,2017-12-25T00:00:00+00:00,7.47,65313,"Hachimitsu Private Academy, an elite all-girls high school, opens its grandiose doors to male students for the first time in its history. The five males who enroll, however, are a merry band of perverts who are unable to communicate with girls! This cluster of misfits is composed of the foreign delinquent Shingo, the strange and sickly ""Jo,"" the overweight ""Andrei,"" the intelligent ""Gakuto,"" and Kiyoshi, the most normal person of the bunch. 

Feeling troubled due to their lack of female interaction, the five boys embark on a dangerous mission to peek on several girls while they are bathing. However, owing to a series of mishaps, their operation ultimately fails, resulting in the boys' actions being exposed to the entire school.

For their crimes, the boys are sentenced to one month of imprisonment by the menacing Underground Student Council. Little do the unforgiving beauties of the council know, the boys' perverted and unusual antics are just going to worsen.

[Written by MAL Rewrite]"
108407,"Kanojo, Okarishimasu",Manga,Publishing,,6.16,67753,"Dumped by his girlfriend, emotionally shattered college student Kazuya Kinoshita attempts to appease the void in his heart through a rental girlfriend from a mobile app. At first, Chizuru Mizuhara seems to be the perfect girl with everything he could possibly ask for: great looks and a cute, caring personality.

Upon seeing mixed opinions on her profile after their first date, and still tormented by his previous relationship, Kazuya believes that Chizuru is just playing around with the hearts of men and leaves her a negative rating. Angry at her client's disrespect towards her, Chizuru reveals her true nature: sassy and temperamental, the complete opposite of Kazuya's first impression. At that very moment, Kazuya receives news of his grandmother's collapse and is forced to bring Chizuru along with him to the hospital.

Although it turns out to be nothing serious, his grandmother is ecstatic that Kazuya has finally found a serious girlfriend, which had always been her wish. Unable to tell her the truth, Kazuya and Chizuru are forced into a fake relationship—acting as if they are truly lovers.

[Written by MAL Rewrite]"
30,Ouran Koukou Host Club,Manga,Finished,2010-09-24T00:00:00+00:00,8.5,62762,"At Ouran High School, an academy where only the children of the rich and powerful attend, there exists a club consisting of the most elite of the student body: the legendary Host Club. Within the club's room, six beautiful, bored boys spend their time entertaining equally beautiful and bored girls.

Haruhi Fujioka, a poor scholarship student, has no interest in the Host Club—until she breaks a valuable vase in their clubroom. After being mistaken for a boy, Haruhi is forced by Kyouya Ootori to work for the Host Club to repay her debt. Tamaki Suou, the princely leader of the club, eagerly takes her under his wing to teach her the ways of the host.

Things, however, are never quite so simple with the Host Club around. Even the most mundane events can turn into huge spectacles with the likes of prankster twins Hikaru and Kaoru Hitachiin, stoic Takashi Morinozuka, and sweet Mitsukuni ""Hunny"" Haninozuka. The crazy adventures of the Host Club are just beginning, and Haruhi must learn how to survive in the glitzy world of the hosts.

[Written by MAL Rewrite]

Note: The final volume contains a special bonus chapter where the group travels to Spain."
144267,Kaoru Hana wa Rin to Saku,Manga,Publishing,,8.84,46543,"Despite being adjacent to one another, Chidori Public High School and the all-girls Kikyo Private Academy seem to exist in two different worlds. While the latter boasts an immaculate reputation and favors students from wealthy backgrounds, the former is a nest for dim-witted delinquents. Everyone at Kikyo harbors a deep hatred for their Chidori neighbors.

Sixteen-year-old Rintarou Tsumugi is a student at Chidori whose intimidating face leads people to avoid him. Rintarou pays no mind to this, as he is content with his group of friends. However, there is something he has not told them yet: sometimes, he helps out at his family's cake shop.

One day at work, Rintarou sees a customer at a table, but she runs off before he can talk to her. The next day, he receives an apology from the girl, Kaoruko Waguri, who explains that she did not run away because of his appearance and that she believes Rintarou is a kind-hearted person. Although he is not used to Kaoruko's bright personality, Rintarou looks forward to forming a friendship with her. There is just one obstacle that stands in his way: Kaoruko is a Kikyo student!

[Written by MAL Rewrite]"
3378,Kimi ni Todoke,Manga,Finished,2017-11-13T00:00:00+00:00,8.3,49644,"Sawako Kuronuma is a 15-year-old student often mistaken for the horrific, vengeful spirit Sadako Yamamura from The Ring. The uncanny resemblance leads to Sawako being called ""Sadako"" instead. Due to her aloof and gloomy appearance, her peers have grown afraid, and they keep their distance from her. But despite such treatment, she harbors an innocent and diligent heart.

Given her honest desire to make friends, Sawako holds a profound admiration for Shouta Kazehaya, the most popular boy in her class. Through his refreshing personality and smooth interpersonal interactions, Kazehaya naturally draws in people. Wishing to be more like him, Sawako begins to spend more time with Kazehaya. While attempting to turn over a new leaf, Sawako finds herself encouraged to explore new things that she never dared before, with Kazehaya right beside her.

[Written by MAL Rewrite]

Included one-shot:
Volume 22: Mayuge no Kakudo wa 45° de (45° Eyebrows)"
92149,Tomo-chan wa Onnanoko!,Manga,Finished,2019-07-14T00:00:00+00:00,7.88,57058,"Tomo Aizawa and Junichirou ""Jun"" Kubota are the tightest bros you would ever see. They roughhouse and spar, but through thick and thin, they have got each other's back. Yet, there is just one small problem: Tomo is in love with Jun!

Since she was young, tomboyish Tomo has been just another one of the guys; due to his extreme muscle-brained nature, Jun does not notice any of her advances—not even when she explicitly confesses. To add insult to injury, for the longest time, he did not even realize that she was a girl. Will Tomo ever be able to catch Jun's eye and escape the infamous bro zone?

[Written by MAL Rewrite]"
70941,Domestic na Kanojo,Manga,Finished,2020-06-10T00:00:00+00:00,7.19,68978,"Natsuo Fujii is in love with his teacher, Hina. Attempting to forget his feelings towards her, Natsuo goes to a mixer with his classmates where he meets an odd girl named Rui Tachibana. In a strange turn of events, Rui asks Natsuo to sneak out with her and do her a favor. To his surprise, their destination is Rui's house—and her request is for him to have sex with her. There's no love behind the act; she just wants to learn from the experience. Thinking that it might help him forget about Hina, Natsuo hesitantly agrees.

After this unusual encounter Natsuo now faces a new problem. With his father remarrying, he ends up with a new pair of stepsisters; unfortunately, he knows these two girls all too well. He soon finds out his new siblings are none other than Hina and Rui! Now living with both the teacher he loves and the girl with whom he had his ""first time,"" Natsuo finds himself in an unexpected love triangle as he climbs ever closer towards adulthood.

[Written by MAL Rewrite]"
