username,manga_id,user_score
Yoniharu,124154,7
Yoniharu,112774,10
Yoniharu,111357,7
Yoniharu,104271,8
Yoniharu,135545,7
Yoniharu,114745,7
Yoniharu,144695,6
Yoniharu,126699,5
Yoniharu,122936,8
Yoniharu,116880,5
Yoniharu,116778,9
Yoniharu,135496,7
Yoniharu,116539,7
Yoniharu,110737,5
Yoniharu,112589,6
Yoniharu,106809,8
Yoniharu,147874,5
Yoniharu,70345,9
Yoniharu,121213,8
Yoniharu,125076,4
Yoniharu,127907,6
Yoniharu,108187,5
Yoniharu,99007,7
Yoniharu,116790,6
Yoniharu,80119,7
Yoniharu,36213,3
Yoniharu,112268,6
Yoniharu,75989,7
Yoniharu,113560,6
Yoniharu,138533,9
Yoniharu,132214,9
Yoniharu,44347,9
Yoniharu,121433,4
Yoniharu,119260,6
Yoniharu,110485,9
Yoniharu,132169,6
Yoniharu,131334,8
Yoniharu,118289,9
Yoniharu,148467,7
Yoniharu,119161,9
Yoniharu,78537,5
Yoniharu,117332,6
Yoniharu,109234,5
Yoniharu,123450,5
Yoniharu,141833,7
Yoniharu,117080,5
Yoniharu,112922,8
Yoniharu,105084,7
Yoniharu,104565,7
Yoniharu,114417,6
Yoniharu,152946,7
Yoniharu,139164,8
Yoniharu,100274,4
NextUniverse,119375,0
NextUniverse,142688,0
NextUniverse,116312,8
NextUniverse,104894,0
NextUniverse,130641,0
NextUniverse,141955,0
NextUniverse,10179,0
NextUniverse,56805,0
NextUniverse,109909,0
NextUniverse,130874,0
NextUniverse,144034,0
NextUniverse,664,0
NextUniverse,140062,8
NextUniverse,159993,9
NextUniverse,162398,0
NextUniverse,76573,0
NextUniverse,140551,0
NextUniverse,141583,0
NextUniverse,2,0
NextUniverse,86337,0
NextUniverse,123930,0
NextUniverse,131807,0
NextUniverse,149,7
NextUniverse,135545,0
NextUniverse,107931,0
NextUniverse,63781,0
NextUniverse,40839,0
NextUniverse,130071,0
NextUniverse,121480,0
NextUniverse,23498,0
NextUniverse,111983,0
NextUniverse,46282,0
